rent;bedrooms;bathrooms;parkings;sizes;areas
3400;1.5;1;0;56 m²;Hillbrow
3400;1;1;1;30 m²;New Doornfontein
3400;1;1;1;80 m²;Rosettenville
3400;1;1;1;80 m²;Rosettenville
3400;1;1;0;28 m²;Marshalltown
3400;1;1;0;0;Doornfontein
3400;1;1;1;0;Johannesburg Central
3400;1;1;1;30 m²;Johannesburg Central
3400;1;1;0;0;Newtown
3400;1;2;0;0;Johannesburg Central
3400;1;2;0;0;Doornfontein
3400;1;1;0;0;Doornfontein
3400;1;1;0;0;Marshalltown
3400;1;1;1;0;Jeppestown
3400;1;1;0;0;Johannesburg Central
3400;1;1;1;0;West Turffontein
3400;0;1;0;55 m²;Johannesburg Central
3400;1;1;0;40 m²;Joubert Park
3445;0;1;0;35 m²;Johannesburg Central
3450;0;0;0;33 m²;Johannesburg Central
3450;0;0;0;0;Johannesburg Central
3450;0;0;0;32 m²;Johannesburg Central
3450;0;0;0;33 m²;City & Suburban
3450;0.5;1;0;0;Johannesburg Central
3450;0.5;1;0;0;Marshalltown
3450;0.5;1;1;0;Johannesburg Central
3450;0.5;1;0;0;Johannesburg Central
3452;0.5;1;1;24 m²;Johannesburg Central
3465;0;3;0;30 m²;Jeppestown
3490;1;1;2;30 m²;Malvern
3495;1;1;0;0;Johannesburg Central
3496;1;1;0;0;Doornfontein
3499;0.5;1;0;20 m²;Maboneng
3499;0.5;1;0;0;Maboneng
3500;3;1;1;0;Westdene
3500;0;0;0;0;Johannesburg Central
3490;1;1;2;30 m²;Malvern
3500;3;1;0;56 m²;Braamfontein
3500;2;1;0;55 m²;Braamfontein
3500;6;2;0;161 m²;Parktown
3500;2;1;0;55 m²;Braamfontein
3500;6;2;0;161 m²;Parktown
3500;0.5;1;0;42 m²;Braamfontein
3500;1;1;0;0;Hillbrow
3500;4;1;0;102 m²;Parktown
3500;1;1;3;0;Auckland Park
3500;1;1;1;0;Winchester Hills
3500;1;1;0;40 m²;Bezuidenhout Valley
3500;0;1;2;42 m²;Hillbrow
3500;1;1;2;0;Albertville
3500;2;1;1;0;Bellavista
3500;0;1;0;33 m²;Maboneng
3500;1;1;0;61 m²;Braamfontein
3500;1;1;1;0;Brixton
3500;4;2;1;0;Braamfontein
3500;1;1;1;75 m²;Turffontein
3500;1;1;1;65 m²;Rosettenville
3500;0.5;1;0;0;Braamfontein
3500;1;1;1;65 m²;Rosettenville
3500;1;1;1;65 m²;Rosettenville
3500;1;1;1;79 m²;Rosettenville
3500;1;1;0;0;Newtown
3500;1;1;0;46 m²;Braamfontein
3500;1;1;0;30 m²;Sydenham
3500;1;1;1;25 m²;Cyrildene
3500;1;1;1;25 m²;Cyrildene
3500;1;1;0;0;Newtown
3500;1;1;1;36 m²;Johannesburg Central
3500;1;1;1;500 m²;Turffontein
3500;1;1;0;0;Rosettenville
3500;1;1;1;60 m²;Berea
3500;1;1;0;0;Hillbrow
3500;1;1;0;0;Johannesburg Central
3500;1;1;0;0;Rosettenville
3500;2;1;0;250 m²;Lehae
3500;1;1;1;35 m²;Braamfontein
3500;1;1;0;0;Berea
3500;0;1;0;15 m²;Johannesburg Central
3500;0;0;0;0;Johannesburg Central
3500;0.5;1;0;249 m²;Johannesburg Central
3500;1;1;0;0;Ormonde
3500;1;1;1;30 m²;Booysens
3500;1;1;0;0;Johannesburg Central
3500;0;0;0;0;Marshalltown
3500;1;0;1;40 m²;Johannesburg Central
3500;1;1;1;60 m²;Yeoville
3500;0;1;1;0;Maboneng
3500;0;1;0;40 m²;Johannesburg Central
3500;1;3;5;0;Crosby
3500;0;0;0;26 m²;Johannesburg Central
3500;0;1;1;0;Marshalltown
3500;1;1;2;0;Auckland Park
3500;1;1;1;0;Kenilworth
3500;1;1;0;0;Linmeyer
3500;1;3;5;0;Crosby
3500;0;1;1;30 m²;Kensington
3500;0.5;1;0;0;Johannesburg Central
3500;1;1;2;58 m²;Yeoville
3500;1;1;1;0;Bezuidenhout Valley
3500;1;1;0;0;Bezuidenhout Valley
3500;1;1;0;0;Ormonde
3500;0.5;1;1;0;Newtown
3500;0;1;1;0;Johannesburg Central
3500;1;1;1;0;Glenanda
3500;0;1;0;0;Hillbrow
3500;1;1;1;0;Doornfontein
3500;0.5;1;0;0;Johannesburg Central
3500;1;1;0;0;Hillbrow
3500;0.5;1;1;0;City & Suburban
3500;1;1;0;0;Rosettenville
3500;0;1;0;0;Marshalltown
3500;1;1;1;0;Forest Hill
3500;1;1;1;0;Yeoville
3510;1;1;1;30 m²;Braamfontein
3520;0;1;0;61 m²;Joubert Park
3520;0;1;0;30 m²;Berea
3520;1.5;1;0;0;Johannesburg Central
3549;1;1;0;0;Johannesburg Central
3550;1;1;0;32 m²;New Doornfontein
3500;0;1;0;0;Marshalltown
3550;1;1;0;0;Brixton
3550;1;1;0;0;Johannesburg Central
3550;1;1;0;0;Johannesburg Central
3550;1;1;0;0;Johannesburg Central
3550;1;1;1;0;Jeppestown
3550;0;1;1;0;Johannesburg Central
3562;1;1;0;0;Doornfontein
3600;2;2;0;0;Doornfontein
3575;1;1;0;60 m²;Wolhuter
3599;1;1;0;55 m²;Braamfontein
3599;0.5;1;0;21 m²;Maboneng
3600;1;1;1;41 m²;Johannesburg Central
3600;0.5;1;0;0;Johannesburg Central
3600;1;1;1;38 m²;Cyrildene
3600;1;1;0;0;Johannesburg Central
3600;1;1;1;39 m²;Johannesburg Central
3600;2;1;0;65 m²;Rosettenville
3600;0;0;0;36 m²;Crosby
3600;1;1;1;40 m²;Johannesburg Central
3600;2;1;1;65 m²;Rosettenville
3600;1;1;0;0;Berea
3600;1;1;0;45 m²;Johannesburg Central
3600;1;1;1;0;Kenilworth
3600;1;1;0;0;Hillbrow
3600;2;2;0;0;Doornfontein
3600;1;1;1;0;Fairview
3600;0;0;0;0;Johannesburg Central
3600;0;1;0;0;Marshalltown
3600;0;0;0;0;Johannesburg Central
3600;0.5;1;0;0;Johannesburg Central
3600;0.5;1;0;0;Johannesburg Central
3600;1;1;1;0;Johannesburg Central
3610;1;1;0;42 m²;Berea
3618;0;3;0;30 m²;Jeppestown
3629;1;1;1;5 m²;Johannesburg Central
3630;1;1;1;60 m²;Berea
